Incremental QALY	Incremental Costs
0.346225012	14022.52973
0.199168808	9219.716535
0.268276706	14730.36501
0.095838536	-93367.02203
0.221020708	-107564.6866
0.391701298	7722.891422
0.165831788	-58894.58306
0.287880464	67610.03793
0.24377438	-24696.86256
0.225315745	-61366.06416
0.055693763	72438.86642
0.09756976	-102588.8965
0.349814123	-85251.61503
0.371217641	-44974.31859
0.181712145	-18310.37337
0.313234332	96290.88566
0.286020581	-117612.2084
0.162152164	-54114.67381
0.113568792	-73919.06671
0.227421121	-120552.5741
0.328805244	12127.47326
0.282102316	30996.92828
0.133260252	2031.65583
0.263046873	-38868.06428
0.322219203	-7567.512667
0.350472839	-7463.888331
0.36067525	126481.6703
0.296726842	104108.5571
0.198132488	-2354.832166
0.312855184	-13083.66669
0.380625354	-4334.937982
0.290301827	-36343.80972
0.261446946	8737.291095
0.314841629	-44220.42246
0.191402829	67250.82542
0.296656972	58157.5045
0.180393474	-75947.19972
0.174729727	-29100.99269
0.16792458	94011.26393
0.162061441	-65596.82279
0.274920884	-15829.2034
0.029902937	-53587.45408
0.177719082	5522.218678
0.071747828	-22991.93198
0.093369202	118563.6351
0.138302326	24395.81312
0.355349343	1159.847106
0.25241531	-16386.67815
0.199295339	10180.09451
0.321557271	8402.941326
0.150371215	-89933.00335
0.111243641	-57293.04461
0.378318744	76054.17345
0.117224382	79698.05895
0.048247938	-131928.0472
0.087674676	-91659.82965
0.217211465	-105391.0798
0.107965844	-125365.6603
0.186195524	-43991.91628
0.09585422	-48055.23399
0.269435626	-9351.201218
0.291972495	-8713.138447
0.275848056	77657.77599
0.204454802	-70567.58256
0.099225907	31760.18545
0.284833485	13493.1107
0.135315912	-58960.18306
0.221480565	-103848.8771
0.183422075	111099.4672
0.222316789	-79130.25718
0.345594259	-1001.538002
0.346218539	26504.88568
0.238466668	96336.42741
0.301414184	102905.9702
0.140125874	9325.635009
0.147464958	84856.78131
0.22172044	-4598.548589
0.077186376	-36794.81689
0.255349605	-14870.66005
0.007503425	-124359.2647
0.065809435	-39202.5184
0.149323928	-36158.99777
0.102744654	-86676.5006
0.278270993	102777.3039
0.218497282	-47059.09883
0.275335573	-10736.86038
0.042193185	71497.86001
0.068458299	44452.78168
0.03750253	-14394.73256
0.148073947	72914.30679
0.165810758	23550.98104
0.162022548	-54675.7347
0.182195207	-123161.4357
0.133951569	64216.91125
0.075933292	-102564.9271
0.152833793	49793.36418
0.145358906	105699.7974
0.11174709	-94196.12488
0.143768973	-78519.00801
0.155437352	-27318.794
0.055787578	-122107.0666
0.101116125	-102232.5099
0.105346011	73646.65398
0.166234342	-54942.82141
0.067371559	-115138.7778
0.150835809	37899.08043
0.323134879	-79717.23811
0.139224112	-62055.58982
0.035171292	76737.9989
0.214004123	62097.41369
0.255740948	50816.196
0.108526265	28301.7564
0.183253643	42827.08107
0.175042304	62330.72535
0.198129826	-136088.0559
0.280929436	-120858.0706
0.127499762	92833.90548
0.088185611	28815.82579
0.355841986	-34172.34487
0.256327852	32407.32624
0.23051727	-36969.27058
0.258357041	-19311.81007
0.296401155	15946.9007
0.18941851	106035.7136
0.28192967	-38799.66622
0.239630071	-110882.8239
0.341410753	90067.0472
0.089114112	-135539.4394
0.216071579	26646.11176
0.278835214	20203.66161
0.072900806	100233.5399
0.165096124	-33360.39609
0.275393725	-33497.90754
0.254695491	51797.58423
0.329862389	-86938.45064
0.267363732	-104693.6191
0.14407237	-74769.36004
0.148962054	-74512.9173
0.275911759	-122369.9555
0.342210771	-105981.6224
0.050357016	-89048.13081
0.091609738	-108941.1191
0.176656965	-117557.8648
0.139101721	12724.7581
0.278424584	40965.46471
0.030853692	-55777.38994
0.344925521	-44848.05881
0.087719257	-60778.41464
0.285658439	45910.30512
0.261814048	40128.72822
0.10085402	92405.89793
0.172199189	-126041.5933
0.331779349	-122142.4398
0.131009575	-102322.4698
0.205094085	101015.4763
0.111750642	-21231.82307
0.132875086	94802.98401
0.122396403	79911.18908
0.350670425	23830.44254
0.304806244	-85773.35715
0.208241578	-64591.70039
0.333087734	-58612.85387
0.350834301	3798.699916
0.322976161	-111526.4552
0.256443349	-10413.401
0.174933795	83268.14578
0.25670377	-104824.3729
0.13205559	-53925.439
0.016676395	46304.57614
0.225343115	89747.24112
0.233115165	77048.69541
0.076389064	-61950.83522
0.334858477	-77045.14929
0.164605456	-113892.0584
0.192350988	-38902.68605
0.117310698	51124.26592
0.131196463	16818.48432
0.07412074	-96618.87459
0.108749631	-122826.6572
0.08290166	35298.14956
0.351479437	-21459.74428
0.253962678	68386.01711
0.299307358	74050.5717
0.017800265	72280.47521
0.15512859	-42545.36593
0.370896381	-16026.0349
0.162535954	48633.15069
0.091209045	-131929.0255
0.238792184	-72801.39977
0.341668188	80276.22421
0.074415686	-14473.98879
0.298202247	52001.32411
0.086667783	-4814.227939
0.205345958	8959.08989
0.061315896	-19416.02575
0.16826158	-40927.28555
0.144304756	73669.95641
0.251830141	-7161.568583
0.18412425	-118393.7256
0.390744702	110052.9502
0.092011593	-48003.93736
0.324277742	-87227.09991
0.374742216	-117939.1439
0.098049528	-8582.921339
0.302764987	-132702.7925
0.077434461	-102640.1447
0.264177531	-62098.11187
0.306780772	52013.86287
0.186858716	-65904.02971
0.297102467	76439.14468
0.036641692	101036.3539
0.28675314	106304.5275
0.179276306	-29186.95203
0.143135066	-81591.63324
0.188434234	-40556.59662
0.204829963	-122442.839
0.262783296	-40352.88331
0.185015886	-40886.42007
0.120854903	101004.5492
0.221167628	45975.94069
0.150288815	-39244.31644
0.274932361	33412.63019
0.222288715	58297.34514
0.255666431	61505.78208
0.234707562	-128079.7636
0.280088605	-99044.48209
0.076571137	78550.89278
0.168439194	-16858.24224
0.224428088	-128213.9147
0.309683183	30252.73638
0.230874332	18863.98079
0.278725566	-110206.4502
0.146634991	57620.21429
0.065474716	-71347.96177
0.134580317	39340.32187
0.226045086	-8148.091115
0.074876994	67113.31919
0.136308039	-114458.0016
0.081456533	58880.66428
0.130018985	-120443.1803
0.368038271	-99291.84396
0.276529893	-83209.8676
0.345598945	10214.3152
0.227883755	-24.23943623
0.322501832	-114398.891
0.311267092	101202.8341
0.038558624	33801.83645
0.16584864	-109573.6304
0.217948585	-39918.93375
0.227603208	15321.60484
0.11703299	-57445.26321
0.223839159	103344.2386
0.351488359	-115168.0953
0.335969308	20064.89766
0.059257722	-34746.02528
0.197821226	-12222.99298
0.13427256	-50016.60872
0.042482057	-132784.3433
0.179998362	39319.99521
0.145921167	-1749.763669
0.127792386	-74434.78757
0.114492954	-106089.0091
0.257575757	105082.7605
0.106208354	-84533.84507
0.171245069	-94374.12343
0.094897181	110381.6985
0.305955537	-83788.61511
0.225934195	-28843.93198
0.153654211	-36557.45151
0.234660702	-92060.8151
0.199232235	-9758.963042
0.026046201	17800.57033
0.246730137	-41611.83934
0.087630003	57926.99373
0.284946076	88734.66767
0.285720227	27029.93044
0.184409408	-37757.4747
0.123649668	21821.45386
0.071776435	66763.63658
0.096430953	-89671.76069
0.316418322	77433.49022
0.071541854	-75985.56341
0.046133675	-102750.2209
0.12058379	-8574.919622
0.233056448	-77871.88633
0.183405923	-137630.4412
0.179555586	63030.88298
0.061626448	95069.95318
0.255740135	-42505.23512
0.068870368	80452.53783
0.092382236	101842.4489
0.308448788	8788.121864
0.337606002	-70442.24741
0.325192585	-66406.31506
0.090561337	-12070.27309
0.354279907	-30246.08605
0.222710186	55959.37039
0.28152477	66367.61885
0.339113243	-84082.07502
0.025545359	99304.80317
0.110698229	-14187.63788
0.164650064	4994.271146
0.268110198	55190.20421
0.110763673	-78088.04416
0.110312401	-3619.096587
0.344623736	55164.22667
0.150209584	-125993.0896
0.29402608	-126530.9792
0.189119107	70566.82264
0.181707764	87063.93342
0.081263964	-71062.25806
0.253292954	-100131.0266
-0.00537396	-111517.4029
0.208318096	15648.63777
0.085618431	115598.1022
0.180773274	-12653.43084
0.152445575	-117063.9996
0.051646618	-124598.3421
0.310344944	41379.46163
0.061809491	14408.23594
0.075494473	100401.9199
0.216861508	-81095.1197
0.303670314	76458.83819
0.132720212	8099.158608
0.104451229	35489.07449
0.046101196	-24430.10582
0.030540186	-69159.19351
0.25381636	-61657.53886
0.288923615	-10506.03097
0.0559604	-92554.84947
0.166838427	74888.41515
0.268088836	-46411.05796
0.327361349	20408.44888
0.325607607	-110724.3288
0.096029861	35855.70014
0.258186995	-52800.3071
0.256184678	85961.92665
