Incremental QALY	Incremental Costs
0.161443644	252727.9278
0.276308371	304935.4229
0.037435737	178700.8745
0.121583316	-72805.10712
0.304702403	438697.6096
0.302509092	-6691.218953
0.085210952	144923.3621
0.384406878	358657.8048
0.198519958	-10391.115
0.176918416	-81074.6764
0.278279471	155267.5191
0.41461821	130088.9169
0.168881417	489145.1037
0.17572981	480429.736
0.217226693	215840.9599
0.283915825	82109.27872
0.30250664	446705.7135
-0.015855438	590579.3773
0.095860671	197897.1004
0.288345141	73013.99796
-0.022480194	393742.4125
0.277777098	147475.4718
0.158130282	115236.3856
0.231082484	480085.2012
0.346152075	565478.2412
0.09300539	475411.9592
0.148687227	89390.22495
0.305109243	326592.1286
0.012958763	323572.2927
0.178369126	320616.6544
0.140530846	-108270.8465
0.191431461	10998.09137
0.157443066	576185.4312
0.03734506	223756.542
0.307274744	316918.3563
0.171198153	310282.0407
0.140038824	35587.83526
0.310279503	25998.43732
0.318780575	80808.98578
0.162249838	334134.0048
0.174714316	337498.0471
0.090689506	585608.2499
0.232515765	314994.2832
0.308961618	-21971.52402
0.260545475	286418.5359
0.312051789	-203369.4865
0.130242114	39768.57989
-0.003893565	409298.9154
0.253839814	79780.85504
0.011952369	-234744.3968
0.363545869	318755.6254
0.293375268	210745.306
0.344798284	326054.795
0.254408715	-30531.15945
0.326399223	103644.6501
0.192748511	492136.1115
0.196255269	650226.791
0.347801235	130008.9904
0.23338743	181883.2111
0.183166198	478516.9601
0.406886431	346724.2729
0.240893328	379719.8489
0.295835769	-36943.48123
0.118848397	8859.547703
0.301418613	148935.4602
0.207086611	526263.0096
0.236995943	78870.78899
0.191619	310546.5208
0.263088103	46747.9013
0.323707434	29643.18903
0.200860658	-14230.18853
0.456386717	202810.7574
0.189651385	329460.3095
0.133242575	219423.0881
0.165489579	-40611.52815
0.067325687	363080.1791
0.315058633	312752.0068
0.2767869	267751.1045
0.292220296	431359.1596
0.109135236	585218.4543
0.136933187	247565.6418
0.220518399	357124.481
0.15512545	-149258.0578
0.231715772	426993.4658
0.154624842	336500.4236
-0.017224273	-18180.33921
0.173349974	385475.687
0.295235384	-84001.75402
0.195217463	546019.8101
0.195482388	328160.3223
0.402698993	396370.3233
0.163154531	-41868.68182
0.262215982	218156.7953
0.273710013	328199.3353
0.332012693	642108.6819
0.156406924	150155.4663
0.240950011	638189.9209
0.33273124	-70511.63867
0.163126927	629270.6931
0.371608362	62471.64094
-0.00248119	1871.844689
0.420038145	317684.5694
0.161535629	248528.6463
0.066777231	219751.4853
0.237680407	211019.8568
0.160056861	222157.9515
0.310745919	62189.29971
0.146526385	170713.7706
0.279407631	399960.1105
0.266065485	-64303.7111
0.064528199	167739.0379
0.167385179	540473.5367
0.221974296	14728.27532
0.081643733	346453.7413
0.352481795	443119.7578
0.251554074	435141.6079
0.212318412	93494.86395
0.298406893	231333.896
0.082694797	171857.9542
0.187344037	266251.7314
0.264327581	88538.80276
0.365197548	34469.65468
0.232241538	165734.9857
0.298401088	302668.2673
0.105085847	703108.742
0.175171748	705871.9732
0.187802703	379964.8579
0.22103301	157737.2452
0.261818844	287665.5644
0.10480507	307946.6463
0.131825998	703343.6926
0.079380819	477466.3355
0.129933106	-149864.872
0.230749586	635869.1765
0.021163355	500146.8696
0.231458931	338703.4325
0.042485605	67847.99052
0.136601986	95711.31464
0.171857421	-66967.78281
0.095775723	36526.10771
0.284445302	521507.0637
0.240301493	580205.7107
0.180338666	58001.88901
0.113529391	248140.4869
0.244830674	125645.76
0.257951789	294141.6861
0.061642459	325055.3045
0.251689592	11476.96246
0.156736893	353412.1462
0.202158183	621058.4634
0.388239596	442146.8465
0.23549894	474393.4072
0.152899219	322449.7587
0.389275848	381914.8191
0.011476955	484212.7478
0.205239564	-121806.728
0.216399012	118297.2846
0.163712555	-78876.62759
0.189832301	528018.3434
0.107274417	575162.9708
0.325563207	43643.56079
0.137368079	542083.1293
0.171465769	451658.8965
0.062885575	-164352.9861
0.207244731	446731.5562
0.258187987	453073.8316
0.25972394	316446.2671
0.300516581	299184.3947
0.236397616	680291.0336
0.349211584	30295.22773
0.111672207	-67101.6977
0.214457511	174418.8185
-0.025579007	561772.6086
0.352431567	296770.3951
0.163077773	205549.8246
0.072753974	84542.53759
0.13059214	-200287.7752
0.216031603	91418.78646
0.000441063	233951.7366
-0.021122024	-123869.2942
0.302139116	-18602.17844
0.411563204	209540.8142
0.329690433	132565.71
0.318776398	382275.7454
0.430152492	179574.5656
0.343619521	-40825.42837
0.252964052	406790.3884
0.144849714	-117185.8212
0.173839827	194463.1818
0.007326432	613335.1948
0.399729179	312018.3519
0.157492448	164648.1768
0.199709477	177101.4283
0.213575523	672284.3129
0.304728989	329354.6434
0.242313626	226514.1713
0.370897193	638591.8226
0.130851867	269695.9621
0.165755399	417972.9593
0.182440324	-23261.66526
0.041820176	452854.4318
0.232777191	-78879.98671
0.189508821	328962.8252
0.260761104	-67232.93215
0.268001202	109671.9061
0.005022065	404253.5474
0.401798515	-135130.952
0.054860504	29756.39267
0.353230223	421290.1552
0.200195282	257120.7643
0.312405111	597899.9828
0.048313393	237567.1531
0.168956867	114971.248
0.271589155	124539.4574
0.188195952	-83332.73134
0.160981819	171217.9579
0.334551001	101768.6564
0.191773438	61972.10367
0.264475738	-93014.29529
0.054193281	183123.9186
0.441474937	75262.25687
0.241706133	459100.9817
